iter	Passed	Remaining
0	150	150127
1	151	75508
2	152	50599
3	152	38091
4	153	30628
5	154	25602
6	155	22027
7	155	19335
8	156	17276
9	157	15606
10	158	14233
11	158	13085
12	159	12109
13	160	11271
14	160	10545
15	161	9912
16	161	9353
17	162	8856
18	162	8412
19	163	8012
20	164	7649
21	164	7322
22	165	7035
23	166	6760
24	166	6504
25	167	6269
26	167	6050
27	168	5851
28	169	5666
29	169	5491
30	170	5325
31	170	5170
32	172	5041
33	172	4909
34	173	4781
35	173	4658
36	174	4542
37	175	4433
38	175	4330
39	176	4231
40	176	4137
41	177	4046
42	177	3960
43	178	3878
44	179	3799
45	179	3723
46	180	3650
47	180	3581
48	181	3514
49	181	3450
50	182	3389
51	182	3329
52	183	3272
53	183	3217
54	184	3164
55	184	3115
56	185	3071
57	186	3029
58	187	2985
59	187	2941
60	188	2899
61	188	2857
62	189	2816
63	189	2777
64	190	2738
65	190	2701
66	191	2666
67	191	2631
68	192	2597
69	193	2564
70	193	2533
71	194	2501
72	194	2471
73	195	2441
74	195	2413
75	196	2385
76	196	2357
77	197	2331
78	197	2305
79	198	2279
80	198	2254
81	199	2231
82	199	2207
83	200	2186
84	201	2167
85	202	2146
86	202	2126
87	203	2106
88	203	2085
89	204	2065
90	204	2045
91	205	2026
92	205	2007
93	206	1988
94	206	1970
95	207	1952
96	207	1935
97	208	1918
98	208	1901
99	209	1884
100	209	1868
101	210	1852
102	210	1836
103	211	1821
104	211	1805
105	212	1791
106	212	1776
107	213	1766
108	214	1753
109	215	1740
110	215	1727
111	216	1716
112	217	1703
113	217	1691
114	218	1679
115	218	1666
116	219	1654
117	219	1642
118	220	1630
119	220	1619
120	221	1607
121	221	1595
122	222	1586
123	223	1577
124	223	1566
125	224	1556
126	224	1545
127	225	1536
128	226	1525
129	226	1516
130	227	1506
131	227	1497
132	228	1487
133	228	1478
134	229	1470
135	230	1464
136	231	1456
137	231	1447
138	232	1438
139	232	1430
140	233	1421
141	233	1411
142	234	1403
143	234	1394
144	235	1386
145	235	1378
146	236	1370
147	236	1363
148	237	1356
149	237	1348
150	238	1341
151	239	1333
152	239	1326
153	240	1318
154	240	1311
155	241	1304
156	241	1297
157	242	1290
158	242	1283
159	243	1276
160	243	1269
161	244	1265
162	245	1260
163	246	1254
164	246	1248
165	247	1242
166	247	1236
167	248	1229
168	248	1223
169	249	1217
170	249	1211
171	250	1205
172	250	1199
173	251	1193
174	251	1187
175	252	1181
176	252	1175
177	253	1170
178	253	1164
179	254	1159
180	254	1153
181	255	1148
182	255	1142
183	256	1137
184	257	1132
185	257	1127
186	258	1121
187	258	1116
188	259	1111
189	260	1109
190	260	1105
191	261	1100
192	262	1095
193	262	1091
194	263	1086
195	263	1081
196	264	1076
197	264	1072
198	265	1067
199	265	1063
200	266	1058
201	266	1054
202	267	1049
203	267	1045
204	268	1040
205	268	1036
206	269	1032
207	270	1028
208	270	1024
209	271	1019
210	271	1015
211	272	1012
212	272	1007
213	273	1003
214	274	1000
215	275	998
216	275	994
217	276	991
218	276	987
